features,sv_0,sv_1,sv_2,sv_3,sv_4,cv_std,cv_mean,feature_n
SDS,0.050761536,0.023138434,0.08893575,0.121106096,0.0908276,0.038234815,0.07495388,211
EIF1B,0.09836282,0.02404216,0.03716207,0.022734262,0.18839526,0.07099423,0.07413931,212
DAB2,0.09803395,0.025611168,0.12114627,0.12153926,0.0029403444,0.05579254,0.0738542,213
IL1A,0.10075111,0.07238716,0.044024464,0.036287025,0.114663556,0.034248494,0.07362266,214
FCGR1A,0.08750384,0.014184908,0.10236932,0.0687835,0.09304325,0.035183404,0.073176965,215
SERPING1,0.02444111,0.071011305,0.06998691,0.062045615,0.13499069,0.03978872,0.072495125,216
ARHGAP18,0.024159644,0.18138392,0.005734413,0.087497264,0.060471244,0.06895222,0.0718493,217
HIF1A,0.20167613,0.039206445,0.020599,0.058672536,0.037855342,0.073952794,0.07160189,218
DAPP1,0.018597478,0.033802133,0.031537928,0.10686303,0.1650288,0.06287765,0.071165875,219
LILRB2,0.045645237,0.1082522,0.0037189778,0.10026503,0.0902798,0.044091173,0.06963225,220
S100A10,0.028717067,0.033230435,0.16222583,0.026909089,0.09281212,0.0590162,0.06877891,221
TUBB,0.022405911,0.020146206,0.07453033,0.060459472,0.16146572,0.057454232,0.06780152,222
MNDA,0.058859244,0.083967865,0.1071002,0.058292035,0.028639935,0.029617725,0.06737186,223
ALOX5AP,0.014497508,0.14280708,0.009772295,0.079918444,0.089717954,0.055813618,0.067342654,224
LY6E,0.047773942,0.06002328,0.07100002,0.04169129,0.11619224,0.029555703,0.06733616,225
LMNA,0.0826226,0.047437273,0.07652883,0.06506717,0.061781704,0.013675186,0.06668751,226
KLF6,0.12203389,0.040006883,0.10578741,0.045645498,0.01754048,0.045168854,0.066202834,227
IER2,0.08340335,0.031667124,0.07287627,0.0654547,0.07677257,0.020280812,0.0660348,228
APP,0.020253425,0.018766228,0.061344914,0.17803311,0.05060435,0.06544787,0.065800406,229
HSPA1B,0.08194721,0.040934205,0.101909734,0.030917833,0.07312262,0.029382536,0.06576632,230
ABI3,0.0284179,0.1604527,0.042115893,0.09087843,0.0067907562,0.06129536,0.06573113,231
LILRB4,0.12067018,0.033701453,0.080704235,0.042153902,0.050906986,0.03551049,0.06562735,232
IL7R,0.115679026,0.1701152,0.028563773,0.0024366858,0.011226867,0.073737815,0.065604314,233
A2M,0.0051599722,0.05659405,0.14062247,0.040809713,0.08371795,0.0507569,0.06538083,234
TXNIP,0.08563784,0.060132254,0.041158892,0.07738909,0.061998263,0.01717678,0.06526327,235
HSPB1,0.06945997,0.03641961,0.031211305,0.12898946,0.05285579,0.039411876,0.06378722,236
TMEM176B,0.045994326,0.04677053,0.09256944,0.052150607,0.08113834,0.021627665,0.06372465,237
RPS26,0.050877318,0.049147625,0.05549383,0.10113571,0.056103773,0.021771975,0.06255165,238
ZFP36L1,0.0042614453,0.03536648,0.12204731,0.103181206,0.047155213,0.048898403,0.06240233,239
FOLR3,0.05296336,0.08396273,0.034415,0.031295653,0.10813424,0.03315102,0.062154196,240
EZR,0.10998061,0.07993279,0.0068351077,0.062511235,0.050194725,0.038100053,0.06189089,241
LIMD2,0.038448755,0.093065664,0.056733362,0.08445654,0.032690775,0.02695626,0.061079014,242
CREG1,0.10178961,0.12204465,0.025470989,0.036176745,0.018048652,0.047731366,0.060706127,243
LDHA,0.10624325,0.027898148,0.048611753,0.044913925,0.07486297,0.030601785,0.06050601,244
ID2,0.09549282,0.09073916,0.04301472,0.040183075,0.032635007,0.030140655,0.060412955,245
CLEC2B,0.0,0.11210295,0.03789352,0.07302882,0.078175455,0.04272945,0.06024015,246
ADAM8,0.046952996,0.09394485,0.040477898,0.087784946,0.030103654,0.029022733,0.05985287,247
SERPINF1,0.052007053,0.004242236,0.010928223,0.16600835,0.0658812,0.06490963,0.05981341,248
SGK1,0.06535288,0.042517006,0.055722617,0.102387324,0.031786002,0.0271308,0.059553165,249
EMP1,0.077949174,0.09876849,0.013385397,0.072814435,0.0347818,0.034630906,0.059539866,250
CXCL8,0.10001743,0.10287894,0.04583568,0.018731188,0.030204378,0.03946654,0.059533525,251
PLAC8,0.12947366,0.0055740597,0.030295458,0.1172654,0.014438132,0.059212748,0.05940934,252
ZFP36L2,0.03345845,0.07469638,0.10789128,0.04077339,0.03624846,0.032164417,0.058613587,253
CREM,0.0872017,0.049078576,0.012165088,0.08244566,0.06106229,0.030163616,0.058390666,254
MIR4435-2HG,0.07985012,0.00827086,0.076818414,0.026144229,0.100710675,0.039188314,0.05835886,255
C1orf186,0.04553958,0.12962265,0.047619645,0.021950595,0.046063274,0.04133623,0.05815915,256
FGR,0.06253893,0.09764865,0.069672085,0.043335333,0.015498742,0.030618308,0.057738744,257
LAPTM4A,0.11001252,0.047527123,0.031078583,0.07843499,0.018603949,0.0370999,0.05713143,258
TGFBI,0.08469102,0.097757995,0.009335266,0.06920618,0.023188747,0.038703974,0.056835838,259
ICAM2,0.08348493,0.03698866,0.053655196,0.0024451949,0.10714991,0.040632524,0.056744777,260
TUBA1A,0.0041470476,0.045438625,0.016808119,0.067063905,0.14892134,0.057209983,0.056475807,261
SOCS3,0.03968638,0.008861598,0.10667007,0.060256973,0.06565336,0.035939787,0.056225676,262
JAML,0.08917669,0.034634132,0.049430627,0.074631736,0.030874886,0.025389217,0.055749614,263
TNFAIP8,0.045579445,0.10947106,0.019132953,0.09645297,0.007141472,0.045687888,0.055555582,264
CCR7,0.0030235925,0.18041982,0.037810534,0.05598794,0.0,0.07374301,0.055448376,265
ARL4C,0.023392478,0.062122773,0.057666637,0.102718845,0.02978756,0.031502146,0.055137657,266
CD48,0.036944408,0.09166498,0.0,0.07701867,0.06928607,0.03668868,0.05498283,267
IL3RA,0.021427913,0.0,0.05248499,0.11199233,0.08881079,0.046232264,0.054943204,268
FLNA,0.10073541,0.016445361,0.059681963,0.031210065,0.06499042,0.032653976,0.054612644,269
HSP90B1,0.021115722,0.06047275,0.082249805,0.053979162,0.053925283,0.021913024,0.05434854,270
PECAM1,0.0452438,0.057335492,0.049716238,0.10819184,0.011241665,0.034894772,0.05434581,271
SMAP2,0.0606761,0.055210482,0.043228984,0.042553835,0.0698133,0.01164781,0.054296542,272
FOS,0.043374524,0.017817272,0.06709164,0.03411514,0.108937636,0.035378933,0.05426724,273
SRGN,0.030692508,0.091703266,0.018328503,0.09386999,0.036713477,0.035795704,0.054261547,274
CYB5A,0.020351728,0.04322392,0.097600944,0.03534675,0.07234963,0.030958727,0.053774595,275
WTAP,0.056953948,0.083603166,0.030912247,0.050799213,0.046376765,0.019275045,0.05372907,276
TCF7L2,0.09608117,0.013995607,0.051035814,0.048704915,0.05775535,0.029244335,0.05351457,277
PILRA,0.031787734,0.05291743,0.11258614,0.023813237,0.045355484,0.035036962,0.053292,278
